EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,epoch_number,train_loss,val_loss,train_metric_iou,val_metric_iou,train_metric_accuracy,val_metric_accuracy,train_masked_iou,val_masked_iou,train_masked_accuracy,val_masked_accuracy
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,20,0.34255106875300406,0.34296660134196283,0.5737841725349426,0.5753631591796875,0.8452138900756836,0.853223979473114,0.7191654443740845,0.6992237567901611,0.7191654443740845,0.6992237567901611
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,1,0.4541112894415855,0.8266322166025638,0.44438955187797546,0.0,0.7708203196525574,0.7155653238296509,0.6326264142990112,0.0,0.6326264142990112,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,2,0.4300410115122795,0.6974453389644623,0.4289381802082062,0.0,0.7827407121658325,0.7155780792236328,0.5632065534591675,0.0,0.5632064938545227,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,3,0.4223801566362381,0.6795398193895816,0.43637511134147644,0.0,0.789646565914154,0.7155780792236328,0.5620787739753723,0.0,0.5620787739753723,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,4,0.4128728782534599,0.9682040573656558,0.44496598839759827,0.0,0.7934958934783936,0.7155780792236328,0.5713649392127991,0.0,0.5713648796081543,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,5,0.414411755502224,0.9558904184550047,0.4517326056957245,0.0,0.7879525423049927,0.7155780792236328,0.6029759049415588,0.0,0.6029759049415588,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,6,0.4063793178796768,0.5662941011786461,0.46721211075782776,0.17206065356731415,0.7969722747802734,0.7620300054550171,0.6144590377807617,0.17387697100639343,0.6144590377807617,0.17387697100639343
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,7,0.400756551861763,1.1358087490051985,0.4736945331096649,0.0,0.801577627658844,0.715578019618988,0.6163520812988281,0.0,0.6163520812988281,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,8,0.39344095247983935,1.0148702203184365,0.4760396480560303,0.0,0.8084672093391418,0.715578019618988,0.6005727052688599,0.0,0.6005726456642151,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,9,0.3895505601763725,0.7099784425497055,0.5017033219337463,0.022718818858265877,0.8135764002799988,0.7210791707038879,0.6477950811386108,0.02279733307659626,0.6477950811386108,0.02279733307659626
