Experiment,Version,Epoch,Train Loss,Validation Loss,Train IoU,Validation IoU,Train Accuracy,Validation Accuracy
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,11,0.318144645009722,0.3369574227503368,0.12692750990390778,0.0,0.8676978945732117,0.8990052342414856
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,12,0.31962911039590836,0.2919920278447015,0.11232201009988785,0.31758636236190796,0.8650492429733276,0.9132670164108276
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,13,0.30568885590348926,0.22852193031992232,0.12925772368907928,0.10856471210718155,0.8689314723014832,0.9080562591552734
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,14,0.3023525987352644,0.27106901577540804,0.14892564713954926,0.025483455508947372,0.8695892095565796,0.9012871980667114
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,15,0.3110761727605547,0.22164922101157053,0.13540048897266388,0.31802740693092346,0.870153546333313,0.925175666809082
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,16,0.3007826549666269,0.34719432251793997,0.1406865119934082,0.27447399497032166,0.8684305548667908,0.855955958366394
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,17,0.29796758400542395,0.31779530218669344,0.14733825623989105,0.0004100509686395526,0.8706844449043274,0.8963807225227356
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,18,0.295627270426069,0.2587664084775107,0.11827736347913742,0.3786804676055908,0.8657631278038025,0.9238492250442505
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,19,0.28775519132614136,0.259525756750788,0.17425018548965454,0.01515490747988224,0.8730568289756775,0.9005128145217896
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1704596535.200774,20,0.2855279360498701,0.2930244526692799,0.16806241869926453,0.0,0.874672532081604,0.8990052342414856
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,1,0.3155233199061872,0.26124131472868733,0.6090428233146667,0.6969224214553833,0.8628155589103699,0.8928398489952087
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,1,0.507778049775617,0.4783101800958909,0.07571378350257874,0.13566695153713226,0.7185544967651367,0.7581012845039368
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,2,0.43371833382702585,0.3924755795085015,0.27400481700897217,0.29840901494026184,0.7497854232788086,0.7943241596221924
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,2,0.28247920064739485,0.26267345635429723,0.6384912133216858,0.718619167804718,0.8748674988746643,0.8992329239845276
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,3,0.41017594188451767,0.45964332947980113,0.4587588310241699,0.09814642369747162,0.8026791214942932,0.7502204775810242
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,4,0.39906041646626456,0.3675134912207352,0.47113654017448425,0.5141810774803162,0.8104386329650879,0.8354634046554565
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,5,0.3877079568395567,0.34600350635116967,0.4811719059944153,0.4812406599521637,0.8178920745849609,0.8385575413703918
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,3,0.2650656406459435,0.2850194221698967,0.6659606695175171,0.689683198928833,0.8845527172088623,0.890942394733429
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,6,0.38048295172589336,0.36459218306624475,0.4838066101074219,0.3779529333114624,0.821613609790802,0.819825291633606
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,7,0.3738680560123268,0.3520581810109651,0.49143606424331665,0.39800825715065,0.824402928352356,0.8223150968551636
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,8,0.3675611762339203,0.3647563534589549,0.5004419684410095,0.37242022156715393,0.8286089301109314,0.8198661208152771
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,9,0.3663367479668921,0.41979621246976045,0.5059089064598083,0.1627805382013321,0.8315727114677429,0.7684392333030701
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,4,0.25374668566675795,0.2768809631212507,0.6816949248313904,0.6946068406105042,0.8902089595794678,0.8930032849311829
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,10,0.3582592196577224,0.38101089060010007,0.5116233229637146,0.22171154618263245,0.8344176411628723,0.782579243183136
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,11,0.3522840082941957,0.42570060558283507,0.5180941224098206,0.013780057430267334,0.8374242186546326,0.7288100123405457
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,12,0.349288188106385,0.46889852380278096,0.5221664309501648,0.03623489663004875,0.8392886519432068,0.7346769571304321
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,5,0.24723203838720018,0.26532632589425,0.6945334076881409,0.7123465538024902,0.894692599773407,0.8975141048431396
